Latitud (rad)	Longitud (rad)	Cap_puerto
0,1562994705	-1,388510649	3.300.000
0,1633436194	-1,394512836	42.000.000
0,1632650795	-1,394633264	1.000.000
0,163357582	-1,394217876	3.100.000
0,174606229	-1,449961947	1.200.000
0,1559783299	-1,388854479	2.600.000
0,274501545	-1,546264677	500.000
0,2762091752	-1,534662426	1.400.000
0,4142408359	-1,72979771	1.200.000
0,6857464954	-1,337134963	4.400.000
0,572059064	-1,395057728	2.800.000
0,893955723	0,7685487548	500.000
0,5193675739	-1,664192386	3.500.000
0,5943235311	-2,063741536	9.200.000
0,3336537204	-1,821113892	3.000.000
0,4498440703	-1,399249854	1.300.000
0,5228072688	-1,572106545	2.000.000
0,710598064	-1,291647843	7.500.000
0,6430981534	-1,33142826	25.000.000
0,6592091131	-2,133246132	2.338.000
0,6972997023	-1,311855614	762.600
0,4513002567	-1,420464137	500.000
0,5599634087	1,415459056	520.000
0,3399813418	-1,729422705	1.165.000
0,2183592341	-1,221280598	100.000
0,3215634756	-1,215351298	1.200.000
0,2548180708	-1,066105227	200.000
0,3141072545	-1,340300815	2.800.000
0,4012843563	-1,444551426	800.000
0,2834107527	-1,073937915	154.400
0,1862452539	-1,073747604	500.000
0,3214372883	-1,222062089	600.000
0,3222982593	-1,153762468	686.000
0,2113314471	-1,203117238	150.000
0,1916895117	-1,308124274	400.000
0,0691630646	-1,350472085	1.100.000
-0,6639851037	-1,004363759	1.400.000
-0,2103516647	-1,346331509	2.500.000
0,1815093553	-1,317975611	3.500.000
0,181624355	-1,318219049	3.500.000
-0,03976732701	-1,394655953	2.100.000
0,1849306282	-1,168613686	600.000
-0,0541390662	-1,047633884	500.000
-0,6091393292	-0,9802559958	1.120.000
-0,4694830968	-0,8491951835	300.000
-0,0886923966	-1,416805927	323.647
-0,4451408443	-0,8466735706	1.100.000
-0,456910443	-0,8483385759	25.500.000
0,1826783768	-1,187115361	600.000
-0,04742889831	-1,40150668	1.500.000
-0,3997924488	-0,7536720919	550.000
-0,5240822318	-0,8941094865	1.420.000
-0,2263885771	-0,6721407812	553.000
-0,5863136916	-1,250034481	6.000.000
0,196188796	-1,29501755	300.000
-0,418195375	-0,8086740488	2.000.000
-0,1465095697	-0,6104123253	400.000
-0,5766449166	-1,250113893	1.000.000
0,612639889	2,251999032	21.200.000
0,3925402567	1,987659492	26.900.000
0,52147279	2,122676196	26.500.000
0,628749627	2,100625928	6.620.000
0,5449305388	2,11984305	47.000.000
0,021980153	1,810856766	37.200.000
0,6306443565	-0,09512934541	5.100.000
0,893036109	0,07342949229	12.000.000
0,7223706589	0,03768148402	3.500.000
0,8906519893	0,04017782845	750.000
0,7753869548	0,1555994189	2.800.000
0,9350657318	0,1748006587	8.800.000
0,8638397177	0,001884938139	2.800.000
0,6263211759	0,2539017729	303.000
0,8989702285	-0,002225294796	11.000.000
0,6255598633	0,2538242803	2.900.000
0,7556743336	0,09391738878	1.053.000
0,8260049938	-0,03752422985	400.000
0,9062487751	0,07856163296	14.500.000
0,8883202294	-0,02450721522	1.500.000
0,6888770924	-0,006586698064	5.400.000
0,7218349842	-0,1526737776	250.000
0,9067875582	0,02288126649	4.000.000
0,895627923	0,05597270911	2.000.000
0,9344423002	0,1497300512	5.000.000
0,9488639558	0,3256627305	2.000.000
-0,6601568269	2,530167165	2.600.000
-0,6891141082	3,087778393	276.000
-0,7996382452	2,977904339	1.192.000
-0,5911054931	2,639065587	2.700.000
-0,6577467018	3,074688424	950.000
