Latitud (rad)	Longitud (rad)	Capacidad de Buques (TEUs)
0,1562994705	-1,388510649	18.000,00
0,1633436194	-1,394512836	12.000,00
0,1632650795	-1,394633264	12.000,00
0,163357582	-1,394217876	14.000,00
0,174606229	-1,449961947	8.500,00
0,1559783299	-1,388854479	14.000,00
0,274501545	-1,546264677	2.000,00
0,2762091752	-1,534662426	8.000,00
0,4142408359	-1,72979771	8.000,00
0,6857464954	-1,337134963	14.000,00
0,572059064	-1,395057728	14.000,00
0,893955723	0,7685487548	18.000,00
0,5193675739	-1,664192386	14.000,00
0,5943235311	-2,063741536	18.000,00
0,3336537204	-1,821113892	12.000,00
0,4498440703	-1,399249854	14.000,00
0,5228072688	-1,572106545	10.000,00
0,710598064	-1,291647843	18.000,00
0,6430981534	-1,33142826	18.000,00
0,6592091131	-2,133246132	14.000,00
0,6972997023	-1,311855614	10.000,00
0,4513002567	-1,420464137	10.000,00
0,5599634087	1,415459056	14.000,00
0,3399813418	-1,729422705	8.000,00
0,2183592341	-1,221280598	3.000,00
0,3215634756	-1,215351298	12.000,00
0,2548180708	-1,066105227	4.000,00
0,3141072545	-1,340300815	14.000,00
0,4012843563	-1,444551426	10.000,00
0,2834107527	-1,073937915	3.500,00
0,1862452539	-1,073747604	5.000,00
0,3214372883	-1,222062089	3.000,00
0,3222982593	-1,153762468	9.000,00
0,2113314471	-1,203117238	3.500,00
0,1916895117	-1,308124274	2.500,00
0,0691630646	-1,350472085	7.000,00
-0,6639851037	-1,004363759	9.000,00
-0,2103516647	-1,346331509	10.000,00
0,1815093553	-1,317975611	14.000,00
0,181624355	-1,318219049	14.000,00
-0,03976732701	-1,394655953	7.000,00
0,1849306282	-1,168613686	6.500,00
-0,0541390662	-1,047633884	3.000,00
-0,6091393292	-0,9802559958	12.000,00
-0,4694830968	-0,8491951835	12.000,00
-0,0886923966	-1,416805927	4.500,00
-0,4451408443	-0,8466735706	10.000,00
-0,456910443	-0,8483385759	12.000,00
0,1826783768	-1,187115361	5.000,00
-0,04742889831	-1,40150668	14.000,00
-0,3997924488	-0,7536720919	9.000,00
-0,5240822318	-0,8941094865	9.000,00
-0,2263885771	-0,6721407812	6.000,00
-0,5863136916	-1,250034481	12.000,00
0,196188796	-1,29501755	3.500,00
-0,418195375	-0,8086740488	14.000,00
-0,1465095697	-0,6104123253	12.000,00
-0,5766449166	-1,250113893	10.000,00
0,612639889	2,251999032	23.000,00
0,3925402567	1,987659492	18.000,00
0,52147279	2,122676196	23.000,00
0,628749627	2,100625928	23.000,00
0,5449305388	2,11984305	23.000,00
0,021980153	1,810856766	23.000,00
0,6306443565	-0,09512934541	23.000,00
0,893036109	0,07342949229	22.000,00
0,7223706589	0,03768148402	15.000,00
0,8906519893	0,04017782845	20.000,00
0,7753869548	0,1555994189	14.000,00
0,9350657318	0,1748006587	23.000,00
0,8638397177	0,001884938139	22.000,00
0,6263211759	0,2539017729	10.000,00
0,8989702285	-0,002225294796	21.000,00
0,6255598633	0,2538242803	19.000,00
0,7556743336	0,09391738878	18.000,00
0,8260049938	-0,03752422985	14.000,00
0,9062487751	0,07856163296	23.000,00
0,8883202294	-0,02450721522	23.000,00
0,6888770924	-0,006586698064	20.000,00
0,7218349842	-0,1526737776	5.000,00
0,9067875582	0,02288126649	18.000,00
0,895627923	0,05597270911	16.000,00
0,9344423002	0,1497300512	23.000,00
0,9488639558	0,3256627305	21.000,00
-0,6601568269	2,530167165	14.000,00
-0,6891141082	3,087778393	5.000,00
-0,7996382452	2,977904339	5.000,00
-0,5911054931	2,639065587	10.000,00
-0,6577467018	3,074688424	11.000,00
