Puerto salida	Puerto destino	Distancia recorrida (km)	Distancia (mn)	CO2 (t)	Nox (kg)	SOx (kg)	PM10	CO2 (t/TEU)	CO2 (kg/TEU)	Nox (kg/TEU)	SOx (kg/TEU)	PM10 (kg/TEU)	Emisiones (USD/TEU*mn)
Altamira	Veracruz ICAVE	6915,00	3733,80	6520,68	38295,00	4995,00	3735,00	1,45	1314,55	8,51	1,11	0,83	345,4970433
Veracruz ICAVE	Santa Marta	4872,00	2630,67	3924,45	27000,00	3555,00	2655,00	0,87	791,16	6,00	0,79	0,59	229,2703295
Santa Marta	Cartagena CONTECAR	4266,00	2303,46	2464,07	23625,00	3150,00	2340,00	0,55	496,75	5,25	0,70	0,52	179,5938313
Cartagena CONTECAR	Altamira	5868,00	3168,47	5031,77	32535,00	4275,00	3240,00	1,12	1014,39	7,23	0,95	0,72	283,9705308
Manzanillo-Panamá	Panama	866,00	467,60	963,54	4770,00	630,00	540,00	0,21	194,25	1,06	0,14	0,12	48,25327273
Panama	Cartagena CONTECAR	571,00	308,32	243,32	3240,00	450,00	315,00	0,05	49,05	0,72	0,10	0,07	22,43781598
Cartagena CONTECAR	Mariel	2260,00	1220,30	1835,42	12555,00	1665,00	1260,00	0,41	370,01	2,79	0,37	0,28	107,5044841
Mariel	Manzanillo-Panamá	2329,00	1257,56	2009,48	12960,00	1755,00	1305,00	0,45	405,10	2,88	0,39	0,29	113,7424527
Cristobal	Manzanillo - Panamá	1363,00	735,96	1524,87	7515,00	1035,00	810,00	0,34	307,41	1,67	0,23	0,18	75,30533564
Manzanillo - Panamá	Port of Spain	3223,00	1740,28	2176,29	17910,00	2385,00	1800,00	0,48	438,73	3,98	0,53	0,40	143,6292277
Port of Spain	Macapa	1985,00	1071,81	2561,00	10935,00	1485,00	1125,00	0,57	516,29	2,43	0,33	0,25	115,802076
Vila do Conde	Cartagena CONTECAR	3700,00	1997,84	1971,54	20520,00	2700,00	2025,00	0,44	397,46	4,56	0,60	0,45	151,9487086
Cartagena CONTECAR	Cristobal	896,00	483,80	1027,53	4950,00	720,00	540,00	0,23	207,15	1,10	0,16	0,12	50,39177488
Altamira	Veracruz ICAVE	6915,00	3733,80	6520,68	38295,00	4995,00	3735,00	1,45	1314,55	8,51	1,11	0,83	345,4970433
Altamira	houston	924,00	498,92	361,67	5,13	675,00	540,00	0,08	72,91	0,00	0,15	0,12	23,34424251
Antwerp	Caucedo	7430,00	4011,88	2462,49	41,13	5355,00	4,06	0,55	496,43	0,01	1,19	0,00	71,31895774
Antwerp	Rotterdam	120,00	64,79	53,06	675,00	90,00	90,00	0,01	10,70	0,15	0,02	0,02	5,312777342
Antwerp	Le Havre	572,00	308,86	503,60	3195,00	450,00	315,00	0,11	101,52	0,71	0,10	0,07	28,11158488
Antwerp	Halifax	6270,00	3385,53	4027,41	34,74	4545,00	3420,00	0,89	811,91	0,01	1,01	0,76	187,2754103
balboa	manzanillo	3013,00	1626,89	1982,97	16,70	2,21	1,67	0,44	399,76				44,066
balboa	tauranga	39604,00	21384,45	16229,52	219,29	28,53	21,47	3,61	3271,82				360,656
Barcadera	Willemstad	125,00	67,49	98,96	720,00	90,00	90,00	0,02	19,95	0,16	0,02	0,02	6,443008442
Barcelona	Valencia	296,00	159,83	104,67	1665,00	225,00	180,00	0,02	21,10	0,37	0,05	0,04	11,50273903
Barranquilla	Santa Marta	4356,00	2352,05	3101,31	24,17	3,20	2430,00	0,69	625,21	0,01	0,00	0,54	128,5117708
barranquilla	Cartagena SPRC	1353,00	730,56	1440,95	7515,00	990,00	765,00	0,32	290,49	1,67	0,22	0,17	72,20034688
Buenaventura	Posorja	1050,00	566,95	348,03	5850,00	765,00	585,00	0,08	70,16	1,30	0,17	0,13	38,73649673
Buenaventura	Cartagena CONTECAR	4187,00	2260,80	2269,67	23220,00	3015,00	2295,00	0,50	457,56	5,16	0,67	0,51	172,7660738
Buenaventura	Paita	1161,00	626,89	629,37	6435,00	855,00	630,00	0,14	126,88	1,43	0,19	0,14	47,79938977
Busan	Ningbo	855,00	461,66	172,62	4770,00	630,00	495,00	0,04	34,80	1,06	0,14	0,11	29,57496173
Busan	Cartagena CONTECAR	15960,00	8617,71	5026,73	88380,00	11,52	8,640,	1,12	1013,37	19,64			328,1989905
Busan	Qingdao	887,00	478,94	427,73	4950,00	675,00	495,00	0,10	86,23	1,10	0,15	0,11	35,82278612
busan	manzanillo	11865,00	6406,59	2847,47	65700,00	8550,00	6435,00	0,63	574,04	14,60	1,90	1,43	408,0248748
Callao	San Antonio	2452,00	1323,97	1398,92	13590,00	1800,00	1350,00	0,31	282,02	3,02	0,40	0,30	102,957788
Callao	Posorja	1238,00	668,47	297,14	6885,00	900,00	675,00	0,07	59,90	1,53	0,20	0,15	42,75891175
Callao	Valparaíso	3377,00	1823,43	1715,04	18675,00	2475,00	1845,00	0,38	345,75	4,15	0,55	0,41	136,6310452
Cartagena CONTECAR	Mariel	2260,00	1220,30	1835,42	12555,00	1665,00	1260,00	0,41	370,01	2,79	0,37	0,28	107,5044841
Cartagena CONTECAR	Altamira	5868,00	3168,47	5031,77	32535,00	4275,00	3240,00	1,12	1014,39	7,23	0,95	0,72	283,9705308
Cartagena CONTECAR	Savannah	2997,00	1618,25	2576,48	16605,00	2205,00	1665,00	0,57	519,41	3,69	0,49	0,37	145,4675485
Cartagena CONTECAR	PSA Panama Int.	870,00	469,76	997,34	4815,00	675,00	495,00	0,22	201,06	1,07	0,15	0,11	48,15009282
Cartagena CONTECAR	Kingston	851,00	459,50	300,83	4725,00	630,00	495,00	0,07	60,65	1,05	0,14	0,11	32,31384174
Cartagena CONTECAR	La guaira	2180,00	1177,11	827,60	12105,00	1620,00	1215,00	0,18	166,84	2,69	0,36	0,27	82,76607322
Cartagena CONTECAR	Port Everglades	2072,00	1118,79	1182,11	11475,00	1530,00	1125,00	0,26	238,31	2,55	0,34	0,25	86,62063809
Cartagena CONTECAR	Manzanillo	13122,00	7085,31	4834,71	72675,00	9495,00	7155,00	1,07	974,66	16,15	2,11	1,59	489,8021264
Cartagena CONTECAR	Santos	7711,00	4163,61	2725,65	42705,00	5580,00	4185,00	0,61	549,48	9,49	1,24	0,93	284,7800564
Cartagena CONTECAR	Cristobal	896,00	483,80	1027,53	4950,00	720,00	540,00	0,23	207,15	1,10	0,16	0,12	50,39177488
Cartagena CONTECAR	Santa Marta	222,00	119,87	140,27	1260,00	180,00	135,00	0,03	28,28	0,28	0,04	0,03	10,06167038
Cartagena CONTECAR	Suape	10779,00	5820,19	4294,17	59715,00	7830,00	5850,00	0,95	865,69	13,27	1,74	1,30	408,9783625
Cartagena CONTECAR	Veracruz	3044,00	1643,63	1076,00	16875,00	2205,00	1665,00	0,24	216,92	3,75	0,49	0,37	112,7849351
Cartagena CONTECAR	Paita	2374,00	1281,86	1286,91	13185,00	1710,00	1305,00	0,29	259,44	2,93	0,38	0,29	98,09870823
Cartagena CONTECAR	Puerto Cabello	2295,00	1239,20	873,18	12735,00	1710,00	1305,00	0,19	176,03	2,83	0,38	0,29	87,80239724
