Puerto	Latitud	Longitud	Puerto	Latitud	Longitud	Distancia (km)	CO2 (Kg/TEU)	Nox (kg/TEU)	SOx (kg/TEU)	PM10 (kg/TEU)
Leghorn	35,88556	14,5475	Marsaxlok	35,84194	14,54306	1039,5	191,3	3,239	1,051	0,264
Marsaxlok	35,84194	14,54306	Leghorn	35,88556	14,5475	1039,6	191,3	3,239	1,051	0,264
Barcadera	12,5110625	-69,974224	Caucedo	18,42423	-69,6345	707,5	367,4	2,895	0,903	0,129
Caucedo	18,42423	-69,6345	Fort_de_France	14,6	-61,08333	1058	249,5	1,78	0,526	0,134
Fort_de_France	14,6	-61,08333	Pointe_a_Pitre	16,23824	-61,53211	240	44,2	0,339	0,108	0,027
Pointe_a_Pitre	16,23824	-61,53211	Port_of_Spain	10,671067	-61,521206	652,8	80,5	2,427	0,76	0,194
Port_of_Spain	10,671067	-61,521206	Rio_Haina	18,417	-70,019	1290,8	107,4	3,67	1,189	0,303
Rio_Haina	18,417	-70,019	San_Juan	18,46633	-66,10572	505,7	99,6	0,937	0,211	0,059
San_Juan	18,46633	-66,10572	Willemstad	12,1084	-68,93354	1072,7	230,1	1,638	0,398	0,108
Willemstad	12,1084	-68,93354	La_Guaira	10,5957445	-66,956632	418,6	35,2	0,863	0,261	0,066
La_Guaira	10,5957445	-66,956632	Puerto_Cabello	10,4667	-68,0167	162	13,2	0,264	0,078	0,02
Puerto_Cabello	10,4667	-68,0167	Barcadera	12,5110625	-69,974224	356,5	232,1	2,265	0,696	0,079
Navegantes	-26,8994	-48,6553	Paranagua	-25,504692	-48,510822	184	18,4	0,24	0,072	0,018
Paranagua	-25,504692	-48,510822	Poto_Itapoa	-26,17904	-48,60622	137,3	10,3	0,133	0,04	0,01
Poto_Itapoa	-26,17904	-48,60622	Rio_de_Janeiro	-22,90642	-43,18223	686,9	74,6	1,154	0,338	0,086
Rio_de_Janeiro	-22,90642	-43,18223	Rio_Grande	-30,0277	-51,2287	1389,2	149,5	2,167	0,65	0,166
Rio_Grande	-30,0277	-51,2287	Salvador	-12,97111	-38,51083	2676,9	307,2	4,217	1,263	0,324
Salvador	-12,97111	-38,51083	Santos	-23,96083	-46,33361	1752,1	175,2	2,352	0,698	0,18
Santos	-23,96083	-46,33361	Navegantes	-26,8994	-48,6553	971,8	43,6	0,632	0,183	0,047
Halifax	51,21989	44,0346	Antwerpen	51,1672	4,2072	5172,7	490,5	9,73	1,694	0,532
Antwerpen	51,1672	4,2072	Dunkirk	51,0306	2,30202	247,8	56,5	0,35	0,034	0,013
Dunkirk	51,0306	2,30202	Genoa	44,4264	8,91519	4197,5	293,4	7,404	1,787	0,48
Genoa	44,4264	8,91519	Hamburg_CTB	53,57532	10,01534	4883,5	314,4	8,773	2,012	0,573
Hamburg_CTB	53,57532	10,01534	Le_Havre	49,49437	0,107999	1075,9	152	1,391	0,085	0,048
Le_Havre	49,49437	0,107999	London_Gateway	51,5072	-0,1275	363,1	51,3	0,461	0,028	0,016
London_Gateway	51,5072	-0,1275	Marseilles_Fos	43,29695	5,38107	4291,3	276,2	5,721	1,424	0,392
Marseilles_Fos	43,29695	5,38107	Montoir_de_Bretagne	47,3266	-2,14998	3507,7	230,7	4,785	1,379	0,361
Montoir_de_Bretagne	47,3266	-2,14998	Rotterdam	51,92423	4,50125	1191,3	168,3	3,175	0,436	0,16
Rotterdam	51,92423	4,50125	Southampton	50,897	-1,40416	481,2	68	0,543	0,036	0,019
Southampton	50,897	-1,40416	Port_of_Felixstowe	51,9551	1,311	342	48,3	0,878	0,059	0,034
Port_of_Felixstowe	51,9551	1,311	Port_of_Zeebrugge	51,3157	3,207	176,6	24,9	0,194	0,013	0,007
Port_of_Zeebrugge	51,3157	3,207	Port_of_Bremerhaven	53,5396	8,5789	777,7	109,9	1,022	0,063	0,035
Port_of_Bremerhaven	53,5396	8,5789	Port_of_Gdansk	54,3659	18,6591	1325,4	187,2	1,48	0,098	0,052
Port_of_Gdansk	54,3659	18,6591	Halifax	51,21989	44,0346	6924,3	584,3	9,139	1,556	0,495
Algeciras	36,13326	-5,45051	Barcelona	41,38879	2,15899	1010,8	139	1,731	0,531	0,135
Barcelona	41,38879	2,15899	Valencia	39,46975	-0,37739	306,6	42,2	0,433	0,132	0,034
Valencia	39,46975	-0,37739	Vila_do_Conde	41,3580981	-8,7475631	2457,7	176,9	6,964	2,251	0,574
Vila_do_Conde	41,3580981	-8,7475631	Algeciras	36,13326	-5,45051	1015,3	84	2,457	0,797	0,201
Savannah	32,08354	81,09983	Busan	35,10168	129,03004	19052,9	987,6	26,471	7,336	3,419
Busan	35,10168	129,03004	Chiwan	22,4909	113,8845	2456,8	247,3	2,914	0,86	0,225
Chiwan	22,4909	113,8845	Ningbo	29,87819	121,620387	1481,1	190	2,536	0,73	0,187
Ningbo	29,87819	121,620387	Qingdao	36,0247	120,357	884,2	115,8	1,431	0,401	0,102
Qingdao	36,0247	120,357	Shanghai	31,22222	121,45806	705,4	71	0,936	0,277	0,072
Shanghai	31,22222	121,45806	Singapure	1,25937	103,75445	4285,4	385,9	5,124	1,493	0,392
Singapure	1,25937	103,75445	Savannah	32,08354	81,09983	25185,8	1363,6	29,779	7,933	2,149
Altamira	23,7342516	-99,110108	Houston	29,75757	-95,3512	908	194,3	1,353	0,255	0,076
Houston	29,75757	-95,3512	Los_Angeles	34,05223	-118,24368	8316	2043,2	14,74	4,295	1,091
Los_Angeles	34,05223	-118,24368	Manzanillo_(Mx)	19,11695	-104,34214	2243,7	510,4	3,48	1,035	0,263
Manzanillo_(Mx)	19,11695	-104,34214	Oakland	37,7699	-122,226	2874,6	632,8	3,718	0,927	0,249
Oakland	37,7699	-122,226	Veracruz	19,479496	-99,088622	8722,6	2153,5	15,535	4,511	1,147
Veracruz	19,479496	-99,088622	Altamira	23,7342516	-99,110108	439,2	91,5	0,658	0,205	0,051
Callao	-12,052263	-77,139113	Guayaquil	-2,2785	-79,9079	1340,6	134,3	2,073	0,632	0,162
Guayaquil	-2,2785	-79,9079	Paita	-5,0817	-81,177	545,1	40,5	0,777	0,243	0,062
Paita	-5,0817	-81,177	Puerto_de_Posorja	-2,7174757	-80,300418	342,5	34,3	0,513	0,15	0,038
Puerto_de_Posorja	-2,7174757	-80,300418	Callao	-12,052263	-77,139113	1256,1	125,8	1,54	0,458	0,119
Buenos_Aires	-38,043544	-57,545805	Montevideo	-34,901113	-56,164531	201,4	20,2	0,271	0,081	0,021
Montevideo	-34,901113	-56,164531	San_Antonio_(Chile)	-33,5933	-71,6217	5160,6	582,1	8,722	2,597	0,669
San_Antonio_(Chile)	-33,5933	-71,6217	Valparaiso	-33,03932	-71,62625	87,3	8,7	0,11	0,033	0,008
Valparaiso	-33,03932	-71,62625	Buenos_Aires	-38,043544	-57,545805	5318,1	532,6	8,05	2,413	0,62
Balboa	8,9553	-79,5558	Colon_container_terminal	9,3589	-79,8997	74,9	7,5	0,093	0,028	0,007
Manzanillo_International_Terminal	9,3597	-79,8828	Moin_APM_Terminals	10,1942	-83,0767	401,1	36,7	0,664	0,072	0,05
Moin_APM_Terminals	10,1942	-83,0767	Terminal_internacional_PSA_Panama	8,9369	-79,5755	460,6	50,2	0,752	0,224	0,058
Terminal_internacional_PSA_Panama	8,9369	-79,5755	Puerto_Barrios	15,72778	-88,59444	1562,3	156,5	2,963	0,862	0,22
Puerto_Barrios	15,72778	-88,59444	Puerto_Cortes	15,82562	-87,92968	113,7	11,4	0,209	0,059	0,015
Puerto_Cortes	15,82562	-87,92968	Kingston	17,99702	-76,79358	1342,8	115,3	3,198	1,027	0,26
Kingston	17,99702	-76,79358	Barranquilla	10,983	-74,95	940,9	71,2	1,988	0,644	0,163
Barranquilla	10,983	-74,95	Buenaventura	3,9627517	-77,376351	1561	156,3	2,342	0,697	0,18
Buenaventura	3,9627517	-77,376351	Cartagena_CONTECAR	10,39972	-75,51444	1266,3	144	2,158	0,643	0,165
Cartagena_CONTECAR	10,39972	-75,51444	Cartagena_SPRC	10,406309	-75,528388	6,8	0,7	0,01	0,003	0,001
Cartagena_SPRC	10,406309	-75,528388	Santa_Marta	11,24079	-74,19904	229,6	23	0,445	0,139	0,035
Santa_Marta	11,24079	-74,19904	Balboa	8,9553	-79,5558	849,6	85,1	1,275	0,38	0,098
Melbourne	-37,8242	144,9679	Napier	-39,48333	176,91667	3183,8	313,2	5,914	1,713	0,44
Napier	-39,48333	176,91667	Port_Chalmers	-45,815897	170,62135	1020,5	86,7	1,456	0,435	0,112
Port_Chalmers	-45,815897	170,62135	Sydney	-33,86785	151,20732	2661	226	3,763	1,108	0,287
Sydney	-33,86785	151,20732	Tauranga	-37,68611	176,16667	2551,5	245,2	4,083	1,203	0,312
Tauranga	-37,68611	176,16667	Melbourne	-37,8242	144,9679	3241,3	303,8	6,367	1,835	0,471
Macapa	0,03889	-51,06639	Manaus	-3,10194	-60,025	3115,4	5,804	48,145	3,376	1,398
Manaus	-3,10194	-60,025	Suape	-8,39438	-34,97405	3706,3	371,2	5,958	1,736	0,445
Suape	-8,39438	-34,97405	Macapa	0,03889	-51,06639	2135,9	5,702	46,912	2,588	1,293
Baltimore	39,29038	-76,61219	Charleston	32,77657	-79,93092	1018,9	251,2	1,617	0,122	0,058
Charleston	32,77657	-79,93092	Miami	25,7741667	-80,171111	826,3	180,8	1,11	0,085	0,04
Miami	25,7741667	-80,171111	New_Orleans	29,95465	-90,07507	1371,1	401	2,938	0,232	0,11
New_Orleans	29,95465	-90,07507	New_York	40,71427	-74,00597	3124,1	776,2	5,482	0,436	0,202
New_York	40,71427	-74,00597	Norfolk	36,84681	-76,28522	585,2	118,1	0,723	0,055	0,026
Norfolk	36,84681	-76,28522	Philadelphia	39,95233	-75,16379	492,4	101,4	0,807	0,055	0,027
Philadelphia	39,95233	-75,16379	Port_Everglades	25,8576	-81,3866	1688,1	441,7	3,155	0,227	0,11
Port_Everglades	25,8576	-81,3866	Mariel	22,9919	-82,7667	509,1	101	1,268	0,261	0,078
Mariel	22,9919	-82,7667	Baltimore	39,29038	-76,61219	1899,9	506,8	3,585	0,397	0,152
