Salida					Destino								Distancia - Fórmula		Distancia - plataforma		Costo Trayecto							
Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	delta lat	delta long	a	distancia (km)	distancia (mi)	distancia (km)	distancia (mi)	Flete	BAF	CAF 	THC O	DOC 	THC D	LSS	Total 
Algericiras	36,13326	-5,45051	0,630644356	-0,095129345	Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	5,60648833	-2,019498835	0,586721318	11118,16298	6003,327744	81354	43927,64579	1025	371	56,38	244,98	52	200	75	2024,355
Altamira	23,73425	-99,11011	0,414240808	-1,729797742	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	99,29161936	-1,732216419	0,422562524	9016,847307	4868,708049	5868	3168,466523	675	149	37,13	120	70	110	75	1236,125
Altamira	23,73425	-99,11011	0,414240808	-1,729797742	Mariel	22,9919	-82,7667	0,401284356	-1,444551426	99,51139436	-1,858792234	0,326419867	7748,760533	4183,995968	1619	874,1900648	1400	149	77,00	120	70	271	75	2162
Antwerp	51,16720	4,20720	0,893036109	0,073429492	Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	-4,04384	-2,287253985	0,414357258	8910,875843	4811,488036	6915	3733,801296	1053	371	57,92	260,39	64,72	303,82	75	2185,845
Antwerp	51,16720	4,20720	0,893036109	0,073429492	Veracruz Icave	19,479496	-99,088622	0,339981342	-1,729422705	-3,86722	-2,622458814	0,447828431	9341,561039	5044,039438	1619	874,1900648	671	371	36,91	260,39	64,72	303,82	75	1782,835
Antwerp	51,16720	4,20720	0,893036109	0,073429492	Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	-4,01101	-2,188053659	0,447916069	9342,683843	5044,645704	8449	4562,095032	503	371	27,67	260,39	64,72	102	75	1403,775
Antwerp	51,16720	4,20720	0,893036109	0,073429492	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	-4,02569	-2,21101172	0,43680223	9200,117718	4967,666155	8471	4573,974082	503	371	27,67	260,39	64,72	110	75	1411,775
Balboa	8,9553	-79,55580	0,156299471	-1,388510649	Altamira	23,73425	-99,11011	0,414240808	-1,729797742	79,97004	-1,886097212	0,254169426	6732,872531	3635,46033	6754	3646,868251	1015	149	55,83	230	55	120	75	1699,825
Balboa	8,9553	-79,55580	0,156299471	-1,388510649	London Gateway	51,5072	-0,1275	0,898970228	-0,002225295	80,45477	-0,158524765	0,329242522	7787,069643	4204,681233	378	204,1036717	882	371	48,51	230	55	226	75	1887,51
Baltimore	39,29038	-76,61219	0,685746495	-1,337134963	Hamburg Ctb	53,57532	10,01534	0,935065732	0,174800659	77,54725573	-0,510945837	0,786518344	13895,16888	7502,790973	7036	3799,136069	1400	89	77,00	160,71	80	260,39	75	2142,1
Barcadera	12,51106	-69,97422	0,21835919	-1,221280531	Caucedo	18,42423	-69,6345	0,321563476	-1,215351298	70,29578348	-1,433710488	0,577338601	10996,96425	5937,885663	682	368,25054	1400	149	77,00	485	50	200	75	2436
Barcelona	41,38879	2,15899	0,722370659	0,037681484	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	-1,977480645	-2,04034627	0,30144055	7405,783368	3998,803115	8587	4636,609071	889	371	48,90	244,98	52	110	75	1790,875
Barranquilla	10,98300	-74,95000	0,191689512	-1,308124274	Buenaventura	3,96275	-77,37635	0,069163035	-1,350472071	75,01916	-1,542161582	0,472155043	9652,559302	5211,965066	1530	826,1339093	800	149	44,00	102	67	102	75	1339
Barranquilla	10,98300	-74,95000	0,191689512	-1,308124274	Posorja	-2,71095	-80,25165	-0,047315003	-1,400655523	74,90268	-1,592345034	0,519946945	10261,77483	5540,915136	10532	5686,825054	633	149	34,82	102	67	190	75	1250,815
Buenaventura	3,96275	-77,37635	0,069163035	-1,350472071	Callao	-12,05226	-77,13911	-0,210351619	-1,346331452	77,16599838	-1,415494486	0,434103347	9165,438317	4948,940776	2067	1116,090713	1400	149	77,00	100	35	75	75	1911
Buenaventura	3,96275	-77,37635	0,069163035	-1,350472071	San Antonio	-33,5933	-71,62170	-0,586313692	-1,250034481	76,79003631	-1,319197516	0,287064266	7204,782203	3890,271168	7865	4246,760259	1400	149	77,00	100	35	115	75	1951
Buenaventura	3,96275	-77,37635	0,069163035	-1,350472071	Callao	-12,05226	-77,13911	-0,210351619	-1,346331452	77,16599838	-1,415494486	0,434103347	9165,438317	4948,940776	2067	1116,090713	1400	149	77,00	100	35	75	75	1911
Buenos Aires	-38,04354	-57,5458	-0,663985032	-1,004363681	Posorja	-2,71095	-80,25165	-0,047315003	-1,400655523	57,498485	-0,736670491	0,279365572	7095,919016	3831,48975	4260	2300,215983	1430	149	78,65	215	55	190	75	2192,65
Busan	35,10168	129,03004	0,612639889	2,251999032	Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	-128,8666824	-2,006857765	0,314987043	7592,699218	4099,729599	11865	6406,587473	2700	386	148,50	106,51	35,5	303,82	75	3755,33
Busan	35,10168	129,03004	0,612639889	2,251999032	Rotterdam	51,92423	4,50125	0,906248775	0,078561633	-128,1237912	-0,534078256	0,84645026	14884,56968	8037,024663	10900	5885,529158	3031	356	166,71	106,51	35,5	260,39	75	4031,105
Busan	35,10168	129,03004	0,612639889	2,251999032	Savannah	32,08354	81,09983	0,559963409	1,415459056	-128,4700766	0,802819167	0,846077133	14877,9791	8033,466038	12200	6587,473002	3826	868	210,43	106,51	35,5	440	75	5561,44
Busan	35,10168	129,03004	0,612639889	2,251999032	Norfolk	36,84681	-76,28522	0,643098153	-1,33142826	-128,3869418	-1,944068149	0,42458003	9042,86009	4882,753828	855	461,663067	1400	868	77,00	106,51	35,5	440	75	3002,01
Callao	-12,05226	-77,13911	-0,210351619	-1,346331452	Charleston	32,77657	-79,93092	0,572059064	-1,395057728	77,71116906	-1,184706109	0,793573021	14005,52842	7562,380357	5400	2915,766739	1010	386	55,55	75	55	440	75	2096,55
Callao	-12,05226	-77,13911	-0,210351619	-1,346331452	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	77,32061936	-1,107623991	0,626147691	11632,47742	6281,035324	3042	1642,548596	754	149	41,47	75	55	110	75	1259,47
Callao	-12,05226	-77,13911	-0,210351619	-1,346331452	Busan	35,10168	129,03004	0,612639889	2,251999032	77,75174989	2,462350651	0,72949112	13045,55033	7044,033657	12900	6965,442765	650	386	35,75	75	55	106,51	75	1383,26
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Ningbo	29,87819	121,62039	0,52147279	2,122676243	76,03591279	1,941166888	0,684749055	12418,76843	6705,598507	17246	9312,095032	482	208	26,51	110	30	90,78	75	1022,29
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	La Guaira	10,59574	-66,95663	0,18493055	-1,16861365	75,69937055	-1,350123005	0,403809238	8774,191516	4737,684404	2180	1177,105832	835	149	45,93	110	30	350	75	1594,925
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Manzanillo (Mx)	19,11695	-104,34214	0,33365372	-1,821113892	75,84809372	-2,002623247	0,715378512	12844,75005	6935,610177	13122	7085,313175	850	149	46,75	110	30	303,82	75	1564,57
