Origen			Destino			Costos logísticos real (USD)
Puerto	Latitud	Longitud	Puerto	Latitud	Longitud	
Leghorn	35,88556	14,5475	Marsaxlok	35,84194	14,54306	1004734
Marsaxlok	35,84194	14,54306	Leghorn	35,88556	14,5475	3350472
Barcadera	12,5110625	-69,974224	Caucedo	18,42423	-69,6345	484308
Caucedo	18,42423	-69,6345	Fort_de_France	14,6	-61,08333	3055797
Fort_de_France	14,6	-61,08333	Pointe_a_Pitre	16,23824	-61,53211	1339985
Pointe_a_Pitre	16,23824	-61,53211	Port_of_Spain	10,671067	-61,521206	796950
Port_of_Spain	10,671067	-61,521206	Rio_Haina	18,417	-70,019	807180
Rio_Haina	18,417	-70,019	San_Juan	18,46633	-66,10572	481862
San_Juan	18,46633	-66,10572	Willemstad	12,1084	-68,93354	1204458
Willemstad	12,1084	-68,93354	La_Guaira	10,5957445	-66,956632	353280
La_Guaira	10,5957445	-66,956632	Puerto_Cabello	10,4667	-68,0167	2175565
Puerto_Cabello	10,4667	-68,0167	Barcadera	12,5110625	-69,974224	1136520
Navegantes	-26,8994	-48,6553	Paranagua	-25,504692	-48,510822	51570
Paranagua	-25,504692	-48,510822	Poto_Itapoa	-26,17904	-48,60622	104940
Poto_Itapoa	-26,17904	-48,60622	Rio_de_Janeiro	-22,90642	-43,18223	1073340
Rio_de_Janeiro	-22,90642	-43,18223	Rio_Grande	-30,0277	-51,2287	98824
Rio_Grande	-30,0277	-51,2287	Salvador	-12,97111	-38,51083	105598
Salvador	-12,97111	-38,51083	Santos	-23,96083	-46,33361	78616
Santos	-23,96083	-46,33361	Navegantes	-26,8994	-48,6553	357822
Halifax	51,21989	44,0346	Antwerpen	51,1672	4,2072	45120
Antwerpen	51,1672	4,2072	Dunkirk	51,0306	2,30202	6111970
Dunkirk	51,0306	2,30202	Genoa	44,4264	8,91519	260338
Genoa	44,4264	8,91519	Hamburg_CTB	53,57532	10,01534	773776
Hamburg_CTB	53,57532	10,01534	Le_Havre	49,49437	0,107999	875156
Le_Havre	49,49437	0,107999	London_Gateway	51,5072	-0,1275	1627560
London_Gateway	51,5072	-0,1275	Marseilles_Fos	43,29695	5,38107	2415634
Marseilles_Fos	43,29695	5,38107	Montoir_de_Bretagne	47,3266	-2,14998	224180
Montoir_de_Bretagne	47,3266	-2,14998	Rotterdam	51,92423	4,50125	205440
Rotterdam	51,92423	4,50125	Southampton	50,897	-1,40416	2152544
Southampton	50,897	-1,40416	Port_of_Felixstowe	51,9551	1,311	56430
Port_of_Felixstowe	51,9551	1,311	Port_of_Zeebrugge	51,3157	3,207	2715888
