Latitud (rad)	Longitud (rad)	TEUs
0,1562994705	-1,388510649	2.273.056
0,1633436194	-1,394512836	1.358.197
0,1632650795	-1,394633264	983.143
0,163357582	-1,394217876	2.622.648
0,174606229	-1,449961947	1.261.272
0,1559783299	-1,388854479	1.363.432
0,274501545	-1,546264677	525.402
0,2762091752	-1,534662426	643.856
0,4142408359	-1,72979771	76.324
0,572059064	-1,395057728	2.482.080
0,893955723	0,7685487548	546.163
0,5193675739	-1,664192386	1.341.838
0,5943235311	-2,063741536	9.460.000
0,3336537204	-1,821113892	3.800.000
0,4498440703	-1,399249854	1.098.322
0,5228072688	-1,572106545	648.538
0,710598064	-1,291647843	5.275.246
0,6592091131	-2,133246132	2.065.710
0,4513002567	-1,420464137	1.013.159
0,5599634087	1,415459056	519.390
0,3399813418	-1,729422705	86.572
0,2183592341	-1,221280598	63.870
0,3215634756	-1,215351298	1.263.991
0,2548180708	-1,066105227	265.400
0,3141072545	-1,340300815	1.647.609
0,4012843563	-1,444551426	312.608
0,2834107527	-1,073937915	206.959
0,1862452539	-1,073747604	270.856
0,3214372883	-1,222062089	302.924
0,3222982593	-1,153762468	215.312
0,2113314471	-1,203117238	304.010
0,1916895117	-1,308124274	554.014
0,0691630646	-1,350472085	4.546.559
-0,6639851037	-1,004363759	859.954
-0,2103516647	-1,346331509	359.598
0,1815093553	-1,317975611	3.301.891
0,181624355	-1,318219049	3.301.891
-0,03976732701	-1,394655953	116.487
0,1849306282	-1,168613686	115.249
-0,0541390662	-1,047633884	578.779
-0,6091393292	-0,9802559958	1.120.000
-0,4694830968	-0,8491951835	1.233.262
-0,0886923966	-1,416805927	303.278
-0,4451408443	-0,8466735706	865.110
0,1826783768	-1,187115361	735.139
-0,04742889831	-1,40150668	62.494
-0,3997924488	-0,7536720919	372.907
-0,5240822318	-0,8941094865	782.338
-0,2263885771	-0,6721407812	323.645
-0,5863136916	-1,250034481	1.709.642
0,196188796	-1,29501755	113.797
-0,418195375	-0,8086740488	3.904.566
-0,1465095697	-0,6104123253	476.353
-0,5766449166	-1,250113893	898.715
0,612639889	2,251999032	21.660.000
0,52147279	2,122676196	26.350.000
0,628749627	2,100625928	18.260.000
0,5449305388	2,11984305	42.010.000
0,021980153	1,810856766	36.600.000
0,6306443565	-0,09512934541	4.700.000
0,7223706589	0,03768148402	1.893.557
0,7753869548	0,1555994189	2.170.000
0,9350657318	0,1748006587	8.730.000
0,8638397177	0,001884938139	2.554.000
0,6255598633	0,2538242803	2.750.000
0,7556743336	0,09391738878	1.533.000
0,9062487751	0,07856163296	14.510.000
0,8883202294	-0,02450721522	1.488.000
0,6888770924	-0,006586698064	4.441.949
0,7218349842	-0,1526737776	13.063
0,9067875582	0,02288126649	4.000.000
0,895627923	0,05597270911	2.200.000
0,9344423002	0,1497300512	5.796.000
0,9488639558	0,3256627305	2.050
-0,6601568269	2,530167165	2.900.000
-0,5911054931	2,639065587	1.793.450
-0,6577467018	3,074688424	950.000
