Nodo		Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	Oferta		Demanda		Total/año	Cap_puerto(TEUs)Cap_Vessel(TEUs)
Balboa		8,95530		-79,55580	0,156299471	-1,388510649	1.165.486	1.107.570	2.273.056	3.300.000	18.000,00
Colon		9,35890		-79,89970	0,163343619	-1,394512836	671.196		687.001		1.358.197	42.000.000	12.000,00
Cristobal	9,35440		-79,90660	0,16326508	-1,394633264	548.123		435.020		983.143		1.000.000	12.000,00
MIT		9,35970		-79,88280	0,163357582	-1,394217876	1.635.854	986.794		2.622.648	3.100.000	14.000,00
Moin APM	10,00420	-83,07670	0,174606229	-1,449961947	693.699		567.573		1.261.272	1.200.000	8.500,00
PSA Panamá	8,93690		-79,57550	0,15597833	-1,388854479	545372,8	818.059		1.363.432	2.600.000	14.000,00
Puerto Barrios	15,72778	-88,59444	0,274501545	-1,546264677	315.241		210.161		525.402		500.000		2.000,00
Puerto Cortes	15,82562	-87,92968	0,276209175	-1,534662426	386.313		260.543		643.856		1.400.000	8.000,00
Altamira	23,73425	-99,11011	0,414240836	-1,72979771	53.426		17.426		76.324		1.200.000	8.000,00
Baltimore	39,29038	-76,61219	0,685746495	-1,337134963	880000		1.320.000	2.200.000	4.400.000	14.000,00
Charleston	32,77657	-79,93092	0,572059064	-1,395057728	1.489.248	992.832		2.482.080	2.800.000	14.000,00
Halifax		51,21989	44,03460	0,893955723	0,768548755	280.332		265.831		546.163		500.000		18.000,00
Houston		29,75757	-95,35120	0,519367574	-1,664192386	640.919		700.919		1.341.838	3.500.000	14.000,00
Los angeles	34,05223	-118,24368	0,594323531	-2,063741536	3784000		5.676.000	9.460.000	9.200.000	18.000,00
Manzanillo (Mx)	19,11695	-104,34214	0,33365372	-1,821113892	2.660.000	1.140.000	3.800.000	3.000.000	12.000,00
Miami		25,77417	-80,17111	0,44984407	-1,399249854	439328,8	658.993		1.098.322	1.300.000	14.000,00
New Orleans	29,95465	-90,07507	0,522807269	-1,572106545	453.976		194.572		648.538		2.000.000	10.000,00
New york	40,71427	-74,00597	0,710598064	-1,291647843	1.284.976	3.990.270	5.275.246	7.500.000	18.000,00
Norfolk		36,84681	-76,28522	0,643098153	-1,33142826	1280000		1.920.000	3.200.000	25.000.000	18.000,00
Oakland		37,76990	-122,22600	0,659209113	-2,133246132	1.010.621	1.055.089	2.065.710	2.338.000	14.000,00
Philadelphia	39,95233	-75,16379	0,697299702	-1,311855614	600000		900.000		1.500.000	762.600		10.000,00
Port Everglades	25,85760	-81,38660	0,451300257	-1,420464137	405263,6	607.895		1.013.159	500.000		10.000,00
Savannah	32,08354	81,09983	0,559963409	1,415459056	409.085		110,305		519.390		520.000		14.000,00
Veracruz	19,47950	-99,08862	0,339981342	-1,729422705	38.958		47.614		86.572		1.165.000	8.000,00
Barcadera	12,51106	-69,97422	0,218359234	-1,221280598	25548		38.322		63.870		100.000		3.000,00
Caucedo		18,42423	-69,63450	0,321563476	-1,215351298	568.796		695.195		1.263.991	1.200.000	12.000,00
Fort de France	14,60000	-61,08333	0,254818071	-1,066105227	106.160		159.240		265.400		200.000		4.000,00
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	1.070.945	576.664		1.647.609	2.800.000	14.000,00
Mariel		22,99190	-82,76670	0,401284356	-1,444551426	125043,2	187.565		312.608		800.000		10.000,00
Pointe a Pitre	16,23824	-61,53211	0,283410753	-1,073937915	124.175		82.784		206.959		154.400		3.500,00
Port of Spain	10,67107	-61,52121	0,186245254	-1,073747604	148.970		121.886		270.856		500.000		5.000,00
Rio Haina	18,41700	-70,01900	0,321437288	-1,222062089	167.864		138.060		302.924		600.000		3.000,00
San Juan(PR)	18,46633	-66,10572	0,322298259	-1,153762468	118.421		96.981		215.312		686.000		9.000,00
Willemstad	12,10840	-68,93354	0,211331447	-1,203117238	167.205		136.805		304.010		150.000		3.500,00
Barranquilla	10,98300	-74,95000	0,191689512	-1,308124274	221605,6	332.408		554.014		400.000		2.500,00
Buenaventura	3,96275		-77,37635	0,069163065	-1,350472085	3.248.020	1.298.539	4.546.559	1.100.000	7.000,00
Buenos Aires	-38,04354	-57,54580	-0,663985104	-1,004363759	432.120		427.834		859.954		1.400.000	9.000,00
Callao		-12,05226	-77,13911	-0,210351665	-1,346331509	188.784		170.814		359.598		2.500.000	10.000,00
CONTECAR	10,39972	-75,51444	0,181509355	-1,317975611	2.014.154	1.287.737	3.301.891	3.500.000	14.000,00
Cartagena SPRC	10,40631	-75,52839	0,181624355	-1,318219049	340.000		510.000		850.000		1.000.000	14.000,00
Guayaquil	-2,27850	-79,90790	-0,039767327	-1,394655953	59.243		57.244		116.487		2.100.000	7.000,00
La guaira	10,59574	-66,95663	0,184930628	-1,168613686	60.158		55.091		115.249		600.000		6.500,00
Macapa		0,03889		-51,06639	0,000678759	-0,891276643	0		0		0	
Manaus		-3,10194	-60,02500	-0,054139066	-1,047633884	321.461		257.318		578.779		500.000		3.000,00
Montevideo	-34,90111	-56,16453	-0,609139329	-0,980255996	578.936		541.064		1.120.000	1.120.000	12.000,00
Navegantes	-26,89940	-48,65530	-0,469483097	-0,849195184	624.850		608.412		1.233.262	300.000		12.000,00
Paita		-5,08170	-81,17700	-0,088692397	-1,416805927	162.389		140.889		303.278		323.647		4.500,00
Paranagua	-25,50469	-48,51082	-0,445140844	-0,846673571	452.653		412.457		865.110		1.100.000	10.000,00
Poto Itapoa	-26,17904	-48,60622	-0,456910443	-0,848338576	440000		660.000		1.100.000	25.500.000	12.000,00
Puerto Cabello	10,46670	-68,01670	0,182678377	-1,187115361	405.488		328.651		735.139		600.000		5.000,00
Puerto Posorja	-2,71748	-80,30042	-0,047428898	-1,40150668	382.000		573.000		955.000		1.500.000	14.000,00
Rio de Janeiro	-22,90642	-43,18223	-0,399792449	-0,753672092	194.400		178.507		372.907		550.000		9.000,00
Rio Grande	-30,02770	-51,22870	-0,524082232	-0,894109487	398.010		384.328		782.338		1.420.000	9.000,00
Salvador	-12,97111	-38,51083	-0,226388577	-0,672140781	167.400		156.245		323.645		553.000		6.000,00
San Antonio	-33,59330	-71,62170	-0,586313692	-1,250034481	856.821		852.821		1.709.642	6.000.000	12.000,00
Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	58.362		55.435		113.797		300.000		3.500,00
Santos		-23,96083	-46,33361	-0,418195375	-0,808674049	1.987.466	1.917.100	3.904.566	2.000.000	14.000,00
Suape		-8,39438	-34,97405	-0,14650957	-0,610412325	240.176		236.177		476.353		400.000		12.000,00
Valparaiso	-33,03932	-71,62625	-0,576644917	-1,250113893	456.357		442.358		898.715		1.000.000	10.000,00
Busan		35,10168	129,03004	0,612639889	2,251999032	11.830.000	9.830.000	21.660.000	21.200.000	23.000,00
Chiwan		22,49090	113,88450	0,392540257	1,987659492	5800000		8.700.000	14.500.000	26.900.000	18.000,00
Ningbo		29,87819	121,62039	0,52147279	2,122676196	13.975.000	12.375.000	26.350.000	26.500.000	23.000,00
Qingdao		36,02470	120,35700	0,628749627	2,100625928	9.695.000	8.565.000	18.260.000	6.620.000	23.000,00
Shanghai	31,22222	121,45806	0,544930539	2,11984305	21.705.000	20.305.000	42.010.000	47.000.000	23.000,00
Singapure	1,25937		103,75445	0,021980153	1,810856766	18.830.000	17.770.000	36.600.000	37.200.000	23.000,00
Algeciras	36,13326	-5,45051	0,630644356	-0,095129345	2.650.000	2.050.000	4.700.000	5.100.000	23.000,00
Antwerpen	51,16720	4,20720		0,893036109	0,073429492	4600000		6.900.000	11.500.000	12.000.000	22.000,00
Barcelona	41,38879	2,15899		0,722370659	0,037681484	956.778		936.779		1.893.557	3.500.000	15.000,00
Dunkirk		51,03060	2,30202		0,890651989	0,040177828	180000		270.000		450.000		750.000		20.000,00
Genoa		44,42640	8,91519		0,775386955	0,155599419	1.185.000	985.000		2.170.000	2.800.000	14.000,00
Hamburg CTB	53,57532	10,01534	0,935065732	0,174800659	4.465.000	4.265.000	8.730.000	8.800.000	23.000,00
Le Havre	49,49437	0,10800		0,863839718	0,001884938	1.577.000	977.000		2.554.000	2.800.000	22.000,00
Leghorn		35,88556	14,54750	0,626321176	0,253901773	360000		540.000		900.000		303.000		10.000,00
London Gateway	51,50720	-0,12750	0,898970228	-0,002225295	1280000		1.920.000	3.200.000	11.000.000	21.000,00
Marsaxlok	35,84194	14,54306	0,625559863	0,25382428	1.675.000	1.075.000	2.750.000	2.900.000	19.000,00
Marseilles Fos	43,29695	5,38107		0,755674334	0,093917389	786.500		746.500		1.533.000	1.053.000	18.000,00
Mont. Bretagne	47,32660	-2,14998	0,826004994	-0,03752423	140000		210.000		350.000		400.000		14.000,00
Rotterdam	51,92423	4,50125		0,906248775	0,078561633	7.655.000	6.855.000	14.510.000	14.500.000	23.000,00
Southampton	50,89700	-1,40416	0,888320229	-0,024507215	754.000		734.000		1.488.000	1.500.000	23.000,00
Valencia	39,46975	-0,37739	0,688877092	-0,006586698	2.230.974	2.210.975	4.441.949	5.400.000	20.000,00
